ID ,Client Name                   ,MAC Address       ,IP Address     ,Valid Time  
1  ,XboxOne                       ,94:9A:A9:3B:6E:33 ,192.168.1.102  ,20:34:00    
2  ,Ryans-iPad                    ,CC:C7:60:68:8D:2B ,192.168.1.101  ,23:58:22    
3  ,Ryans-Iphone                  ,60:A3:7D:EF:83:03 ,192.168.1.105  ,21:02:15    
4  ,kindle-3ad921b2a              ,44:65:0D:F0:C8:2C ,192.168.1.109  ,17:58:38    
5  ,localhost                     ,40:16:3B:F6:E7:66 ,192.168.1.100  ,23:35:03    
6  ,Ryans-iMac                    ,88:63:DF:A4:6A:E5 ,192.168.1.106  ,21:57:38    
7  ,RYAN-PC                       ,94:DE:80:06:45:7C ,192.168.1.103  ,23:17:52    
8  ,Plex-Server                   ,A4:BA:DB:E5:55:1D ,192.168.1.11   ,Permanent   
9  ,Unknown                       ,00:25:AE:E1:CA:6D ,192.168.1.107  ,19:43:41    
10 ,android-19bc67d0384dbc6d      ,E8:50:8B:71:34:73 ,192.168.1.104  ,20:02:14    
11 ,EMILYS-LAPTOP                 ,84:A6:C8:82:6A:54 ,192.168.1.108  ,16:14:38    
